"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","condition_confidence_scenario","criticality_overall_score","criticality_overall_score_label","criticality_operational_score","criticality_pipe_type_score","criticality_people_impacts_score","criticality_people_impacts_dataset_s_","criticality_environmental_impacts_score","criticality_environmental_impacts_dataset_s_","criticality_infiltration_score","criticality_impact_of_failure_score","criticality_flow_ratio","criticality_confidence_scenario","Risk-score"
"PE",2019,1100,1943.98,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",4.1225,4,4,4,2.5,"Property Parcels, Safe Swim Beach",4,"Ocean Intercept, Significant Ecological Area - SEA-M1-67, NZ River Lines",5,1.575,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",1965,525,49.15,2.39,"2","2","2018","te puna wai","no",5,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.12236233861082,4,2,2,5,"Property Parcels, KiwiRail",1,NA,5,1.935,0.0214885286197344,"Modelled Flow Data Used & Depth Available",13
"CONC",1966,450,160.75,2,"2","2","2018","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.12170805490047,4,2,2,5,"Property Parcels, Building Outlines, Schools & Hospitals",1,NA,5,1.935,0.0219550410691822,"Modelled Flow Data Used & Depth Available",13
"CONC",1988,450,129.44,2,"2","2","2010","te puna wai","no",1,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",4.11990407538841,4,3,2,5,"Property Parcels, Building Outlines, Schools & Hospitals",1,NA,5,1.935,0.0499554400177597,"Modelled Flow Data Used & Depth Available",13
"PE",2005,450,83.49,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.11866299944984,4,1,2,5,"Property Parcels, Schools & Hospitals",1,NA,5,1.935,0.0157198608827703,"Modelled Flow Data Used & Depth Available",7
"CONC",1978,470,170.01,2.27,"2","2","2014","te puna wai","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.11864420221545,4,2,2,5,"Schools & Hospitals",1,NA,5,1.935,0.0241396062634927,"Modelled Flow Data Used & Depth Available",13
"PE",2011,550,44.62,1.97,"2","None","None","None","no",5,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.11814360218392,4,1,2,5,"Schools & Hospitals",1,NA,5,1.935,0.015961160425588,"Modelled Flow Data Used & Depth Available",13
"PE",2011,550,78.42,1.42,"1","1","2011","te puna wai","no",3,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",4.11814360218392,4,1,2,5,"Schools & Hospitals",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",5,1.935,0.015961160425588,"Modelled Flow Data Used & Depth Available",7
"CONC",1962,470,101.15,2.16,"2","1","2009","te puna wai","no",1,3,3,"CCTV Available (10-20 Years Old) & Soil Type Available",4.11776271085558,4,1,2,5,"Property Parcels, Schools & Hospitals",1,NA,5,1.935,0.0161381134236544,"Modelled Flow Data Used & Depth Available",13
"CONC",2006,550,274.72,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.11715328473024,4,1,2,5,"Schools & Hospitals",1,NA,5,1.935,0.0164212382205607,"Modelled Flow Data Used & Depth Available",7
"CONC",2003,800,216.51,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.11699846860643,4,1,4,5,"NZTA",1,NA,1.5,1.94,0.0199081163859112,"Modelled Flow Data Used & Depth Available",7
"CONC",1962,525,58.53,2.67,"3","2","2021","CCTV Footage Review Log South_Latest.xls","yes",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",4.11540436977385,4,2,2,5,"Property Parcels, NZTA, Building Outlines",1,"Aquifer - Mt Wellington Volcanic Aquifer",5,1.935,0.0264496472200684,"Modelled Flow Data Used & Depth Available",17
"CLS",1969,860,813.52,3.82,"4","None","None","None","no",1,1,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.112,4,4,5,3.5,"Property Parcels, Building Outlines",1,NA,1.5,1.54,0.8,"Diameter Used For Flow Approximation & Depth Available",21
"PE",2011,900,593.32,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.112,4,4,5,3.5,"Property Parcels, Building Outlines",1,NA,1.5,1.54,0.8,"Diameter Used For Flow Approximation & Depth Available",7
"CLS",1964,910,224.68,4.03,"4","None","None","None","no",1,3,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.112,4,4,5,3.5,"Property Parcels, Building Outlines",1,NA,1.5,1.54,0.8,"Diameter Used For Flow Approximation & Depth Available",21
"CLS",1964,910,25.29,4.03,"4","None","None","None","no",1,3,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.112,4,4,5,3.5,"Building Outlines",1,NA,1.5,1.54,0.8,"Diameter Used For Flow Approximation & Depth Available",21
"CLS",2011,810,17.94,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.112,4,4,5,3.5,"Property Parcels, Building Outlines",1,NA,1.5,1.54,0.8,"Diameter Used For Flow Approximation & Depth Available",7
"PE",2017,900,11.8,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.112,4,4,5,3.5,"Property Parcels, Building Outlines",1,NA,1.5,1.54,0.8,"Diameter Used For Flow Approximation & Depth Available",7
"CONC",1963,724,133.61,4,"4","4","2016","te puna wai","no",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Not Available",4.11075612557427,4,3,5,5,"NZTA",1,NA,1.5,2.005,0.193721286370597,"Modelled Flow Data Used & Depth Available",21
"BRICK",1911,1050,23.76,3.78,"4","3","2013","CCTV Footage Review Log South_Latest.xls","no",5,3,4,"CCTV Available (10-20 Years Old) & Soil Type Available",4.10975139712435,4,3,4,5,"Property Parcels, Building Outlines, Schools & Hospitals",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.925,0.0435272201970935,"Modelled Flow Data Used & Depth Available",21
"CONC",1965,525,71.11,2,"2","2","2011","te puna wai","no",1,3,2,"CCTV Available (10-20 Years Old) & Soil Type Available",4.10545474507508,4,2,2,5,"KiwiRail",1,"Significant Ecological Area - SEA_T_4980",5,1.935,0.0335438537789117,"Modelled Flow Data Used & Depth Available",13
"CONC",1965,525,47.18,2,"2","2","2011","te puna wai","no",1,3,2,"CCTV Available (10-20 Years Old) & Soil Type Available",4.10545474507508,4,2,2,5,"Property Parcels, KiwiRail, Building Outlines",1,NA,5,1.935,0.0335438537789117,"Modelled Flow Data Used & Depth Available",13
"BRICK",1911,1050,146.62,3.51,"4","3","2013","CCTV Footage Review Log South_Latest.xls","no",3,3,4,"CCTV Available (10-20 Years Old) & Soil Type Available",4.10472838519129,4,3,4,5,"Property Parcels, Schools & Hospitals",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.925,0.051406454601904,"Modelled Flow Data Used & Depth Available",21
"CONC",1988,450,156.21,1,"1","1","2015","te puna wai","no",1,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",4.10453423557914,4,2,2,5,"Property Parcels, Building Outlines, Schools & Hospitals",1,NA,5,1.935,0.0342001885353761,"Modelled Flow Data Used & Depth Available",7
"CONC",1964,1050,214.19,2,"2","2","2019","CCTV Footage Review Log South_Latest.xls","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.10186802041072,4,2,4,5,"Schools & Hospitals",1,NA,1,1.925,0.025680706010289,"Modelled Flow Data Used & Depth Available",13
"CONC",1964,1050,209.38,3,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.10114930972244,4,2,4,5,"Schools & Hospitals",1,NA,1,1.925,0.0261986956955379,"Modelled Flow Data Used & Depth Available",17
"VC",2004,450,55.83,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.09841500765697,4,5,2,2.5,"Property Parcels",1,NA,5,1.165,0.549770290964778,"Modelled Flow Data Used & Depth Available",7
"PE",2021,900,55.92,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",4.094,4,4,4,3.5,"Building Outlines",1,NA,1.5,1.48,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",1957,900,507.51,2.35,"2","2","2003","te puna wai","no",1,1,3,"CCTV Available (20-30 Years Old) & Soil Type Available",4.094,4,4,4,3.5,"Property Parcels, Building Outlines",1,NA,1.5,1.48,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"MS",1964,910,0.83,4.03,"4","None","None","None","no",1,3,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.094,4,4,4,3.5,"Building Outlines",1,NA,1.5,1.48,0.8,"Diameter Used For Flow Approximation & Depth Available",21
"CONC",2016,825,157.72,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.088,4,4,4,3.5,"Building Outlines",1,"Significant Ecological Area - SEA_T_6097, Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.46,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",2016,975,239.74,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.088,4,4,4,3.5,"Property Parcels, Building Outlines",1,"Significant Ecological Area - SEA_T_6097, Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.46,0.8,"Diameter Used For Flow Approximation & Depth Available",7
"CONC",1964,900,41.16,3,"3","3","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.088,4,4,4,3.5,"Property Parcels, Building Outlines",1,NA,1,1.46,0.8,"Diameter Used For Flow Approximation & Depth Available",17
"CONC",1964,2100,572.98,4,"4","4","2009","te puna wai","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",4.08617435661499,4,5,5,2.5,"Property Parcels, Building Outlines, Public Park & Sports Area",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.215,0.525901092926063,"Modelled Flow Data Used & Depth Available",21
"CONC",2020,1100,202.03,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",4.085,4,4,4,2.5,"Property Parcels",4,"Significant Ecological Area - SEA_T_2169, NZ River Lines",1.5,1.45,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",2021,1050,101.77,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",4.085,4,4,4,2.5,"Property Parcels",4,"NZ River Lines",1.5,1.45,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",1964,1800,177.28,3,"3","3","2016","te puna wai","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.07739708574499,4,5,5,2.5,"Property Parcels, Building Outlines",1,NA,5,1.355,0.462822175106252,"Modelled Flow Data Used & Depth Available",17
"CONC",1964,2100,595.02,2,"2","2","2009","te puna wai","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",4.06881558119408,4,5,5,2.5,"Property Parcels, Building Outlines",1,NA,5,1.355,0.457825665906305,"Modelled Flow Data Used & Depth Available",13
NA,NA,0,0,3,"3","None","None","None","no",3,3,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",4.064,4,1,4,5,"Property Parcels, Schools & Hospitals",4,"Significant Ecological Area - SEA_T_8047, NZ River Lines",1.5,2.22,0.2,"Diameter Used For Flow Approximation & Depth Available",17
"PE",2020,315,651,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.064,4,1,4,5,"Property Parcels, KiwiRail",4,"NZ River Lines",1.5,2.22,0.2,"Diameter Used For Flow Approximation & Depth Available",7
"CONC",1977,2550,222.35,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0636462693482,4,5,5,3.5,"Property Parcels, Building Outlines",1,NA,5,1.665,0.252412191096369,"Modelled Flow Data Used & Depth Available",13
"CONC",1977,2550,499.45,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.06263078435221,4,5,5,3.5,"Property Parcels, Building Outlines",1,NA,5,1.665,0.251601424632501,"Modelled Flow Data Used & Depth Available",13
"CONC",1981,2550,288.14,2,"2","2","2016","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.05960850757841,4,5,5,3.5,"Property Parcels, Building Outlines",1,NA,5,1.665,0.249188429204323,"Modelled Flow Data Used & Depth Available",13
"CONC",1965,800,102.05,2,"2","2","2016","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Not Available",4.0565,4,4,5,2.5,"Property Parcels, Safe Swim Beach",1,"Ocean Intercept",5,1.355,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",1977,2550,338.4,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.05622355759177,4,5,5,3.5,"Property Parcels, Building Outlines",1,NA,5,1.665,0.246485874324763,"Modelled Flow Data Used & Depth Available",13
"CONC",1946,381,90.56,3,"3","3","2015","CCTV Footage Review Log South_Latest.xls","no",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",4.05485454463559,4,1,1,5,"Property Parcels, Building Outlines, Schools & Hospitals",1,NA,5,1.87,7.07811992265545e-05,"Modelled Flow Data Used & Depth Available",17
"CONC",1964,1350,23.95,3,"3","3","2016","te puna wai","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.05447145748141,4,5,5,2.5,"Property Parcels",4,"NZ River Lines",5,1.635,0.27126894603577,"Modelled Flow Data Used & Depth Available",17
"CONC",1965,300,74.68,2.39,"2","2","2018","CCTV Footage Review Log South_Latest.xls","yes",5,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.05441156693488,4,1,1,5,"Property Parcels, KiwiRail",1,"Aquifer - Mt Wellington Volcanic Aquifer",5,1.87,0.000286342124143789,"Modelled Flow Data Used & Depth Available",13
"CONC",1964,2100,174.29,3,"3","3","2009","te puna wai","no",3,3,2,"CCTV Available (10-20 Years Old) & Soil Type Available",4.05428688746111,4,5,5,1,NA,1,NA,5,0.895,0.60718043092881,"Modelled Flow Data Used & Depth Available",17
"CONC",1946,675,2.55,2.57,"3","2","2013","te puna wai","no",3,1,3,"CCTV Available (10-20 Years Old) & Soil Type Available",4.05312370301496,4,1,3,5,"Property Parcels, Schools & Hospitals",1,"Significant Ecological Area - SEA_T_6097",1.5,1.875,0.00454608338668734,"Modelled Flow Data Used & Depth Available",17
"CONC",1964,375,0.69,2.46,"2","None","None","None","no",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.05254048201997,4,1,1,5,"Schools & Hospitals",1,NA,5,1.87,0.00119684573237629,"Modelled Flow Data Used & Depth Available",13
"CONC",1964,381,69.23,1.75,"2","1","2015","te puna wai","no",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.05225618289862,4,1,1,5,"Property Parcels, KiwiRail, Building Outlines",1,"Aquifer - Mt Wellington Volcanic Aquifer",5,1.87,0.00133519080359182,"Modelled Flow Data Used & Depth Available",13
"CONC",1964,381,71.57,1.41,"1","1","2015","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.05225618289862,4,1,1,5,"Property Parcels, KiwiRail, Building Outlines",1,"Aquifer - Mt Wellington Volcanic Aquifer",5,1.87,0.00133519080359182,"Modelled Flow Data Used & Depth Available",7
"CONC",1964,381,37.69,1.41,"1","1","2015","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.05225618289862,4,1,1,5,"Property Parcels, KiwiRail, Building Outlines",1,"Aquifer - Mt Wellington Volcanic Aquifer",5,1.87,0.00133519080359182,"Modelled Flow Data Used & Depth Available",7
"CONC",1964,2100,1391.21,3,"3","3","2009","te puna wai","no",5,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",4.04761324187544,4,5,5,2.5,"Property Parcels, Building Outlines",1,"Place Of Historic Heritage - Residence",5,1.355,0.445480781295746,"Modelled Flow Data Used & Depth Available",17
"CONC",1964,1549,194.41,3,"3","3","2006","te puna wai","no",5,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",4.04414697394287,4,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,0.496256639759087,"Modelled Flow Data Used & Depth Available",17
"CONC",1946,225,16.9,3.12,"3","3","2012","te puna wai","no",5,1,3,"CCTV Available (10-20 Years Old) & Soil Type Available",4.04190901720305,4,1,1,5,"Property Parcels, NZTA",1,NA,5,1.87,0.00637030793038991,"Modelled Flow Data Used & Depth Available",17
"CONC",1946,225,13.91,2.41,"2","None","None","None","no",1,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.04190901720305,4,1,1,5,"Property Parcels, NZTA",1,"Significant Ecological Area - SEA_T_6008, Aquifer - Auckland Isthmus Volcanic Aquifer",5,1.87,0.00637030793038991,"Modelled Flow Data Used & Depth Available",13
"CONC",1965,318,61.64,3,"3","3","2020","CCTV Footage Review Log South_Latest.xls","no",5,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.04149909753971,4,1,1,5,"Schools & Hospitals",1,NA,5,1.87,0.00656978221911929,"Modelled Flow Data Used & Depth Available",17
"CONC",1964,2100,928.03,4,"4","4","2009","te puna wai","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",4.0403956347304,4,5,5,2.5,"Property Parcels, Building Outlines",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.215,0.502150783258316,"Modelled Flow Data Used & Depth Available",21
"CONC",1912,910,20.27,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels",1,"Aquifer - Western Springs Volcanic Aquifer",5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",1912,910,10.03,2,"2","2","2016","te puna wai","no",5,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels",1,"Aquifer - Western Springs Volcanic Aquifer",5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",1965,1054,4.95,2.46,"2","None","None","None","no",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels",1,NA,5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"Conc",2013,1050,240.6,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",4.0385,4,4,4,2.5,"Building Outlines",1,"Place Of Historic Heritage - Midden and terraces R10_1077",5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"BRICK",1911,840,99.07,2.86,"3","2","2015","te puna wai","no",3,1,4,"CCTV Available (0-10 Years Old) & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels",1,NA,5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",17
"BRICK",1911,840,54.59,2.86,"3","2","2015","te puna wai","no",3,1,4,"CCTV Available (0-10 Years Old) & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels",1,NA,5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",17
"PE",2020,800,113.46,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels",1,NA,5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",7
"PE",2020,800,98.08,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels",1,NA,5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",7
"PE",2021,800,53.72,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels",1,NA,5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",7
"CONC",1965,900,38.36,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels",1,NA,5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",1964,1194,20.2,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0385,4,4,4,2.5,"Property Parcels, Building Outlines",1,NA,5,1.295,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CONC",1946,600,107.07,3,"3","3","2011","te puna wai","no",1,1,3,"CCTV Available (10-20 Years Old) & Soil Type Available",4.0379391088647,4,1,3,5,"Property Parcels, KiwiRail, Building Outlines",1,"Significant Ecological Area - SEA_T_6008",1,1.86,0.00101024075259719,"Modelled Flow Data Used & Depth Available",17
"CONC",1946,600,192.38,2.29,"2","2","2011","te puna wai","no",1,1,3,"CCTV Available (10-20 Years Old) & Soil Type Available",4.03781440526097,4,1,3,5,"Property Parcels, NZTA, Building Outlines",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.86,0.00107136997011103,"Modelled Flow Data Used & Depth Available",13
"CONC",1960,381,72.28,3,"3","3","2018","te puna wai","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",4.03191603097643,4,2,1,5,"Property Parcels, Schools & Hospitals",1,NA,5,1.87,0.0176888651521635,"Modelled Flow Data Used & Depth Available",17
"CONC",1964,1500,242.17,3,"3","3","2016","te puna wai","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.03094755113137,4,5,5,2.5,"Property Parcels, Building Outlines",1,NA,5,1.355,0.435777322347233,"Modelled Flow Data Used & Depth Available",17
"CONC",1965,600,91.32,2.27,"2","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.03089699887715,4,2,3,5,"Schools & Hospitals",1,NA,1.5,1.875,0.0240784770459788,"Modelled Flow Data Used & Depth Available",13
"CONC",1946,675,22.77,2.67,"3","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",4.0303846958178,4,1,3,5,"Schools & Hospitals",1,"Significant Ecological Area - SEA_T_6097",1,1.86,0.00471338440304102,"Modelled Flow Data Used & Depth Available",17
"CONC",1992,600,87.14,2,"2","2","2018","te puna wai","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02933575803982,4,1,3,5,"Schools & Hospitals",1,NA,1.5,1.875,0.0160796324655436,"Modelled Flow Data Used & Depth Available",13
"CONC",1992,600,65.41,2,"2","2","2018","te puna wai","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02933575803982,4,1,3,5,"Property Parcels, Schools & Hospitals",1,NA,1.5,1.875,0.0160796324655436,"Modelled Flow Data Used & Depth Available",13
"VC",1968,300,48.76,2,"2","2","2010","te puna wai","no",1,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",4.02798497186447,4,1,1,5,"Property Parcels, Schools & Hospitals",1,NA,5,1.87,0.0131459990927137,"Modelled Flow Data Used & Depth Available",13
"VC",2002,300,39.08,1.54,"2","1","2010","te puna wai","no",5,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",4.02723786022,4,1,1,5,"Property Parcels, Schools & Hospitals",1,NA,5,1.87,0.0135095570705592,"Modelled Flow Data Used & Depth Available",13
"CONC",1988,375,37.51,2,"2","2","2014","te puna wai","no",1,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02570628376183,4,2,1,5,"Schools & Hospitals",1,NA,5,1.87,0.0224472921365305,"Modelled Flow Data Used & Depth Available",13
"VC",2002,375,30.47,3,"3","3","2014","te puna wai","no",1,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02570628376183,4,2,1,5,"Schools & Hospitals",1,NA,5,1.87,0.0224472921365305,"Modelled Flow Data Used & Depth Available",17
"CONC",1964,1500,109.12,3,"3","3","2016","te puna wai","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.0248526383692,4,5,5,2.5,"Property Parcels",1,NA,5,1.355,0.432228610404193,"Modelled Flow Data Used & Depth Available",17
"CLS",1961,310,59.13,3.61,"4","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,3,5,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02338329306312,4,1,1,5,"Property Parcels, NZTA",1,NA,5,1.87,0.0153852588500629,"Modelled Flow Data Used & Depth Available",21
"CONC",1965,600,88.52,2.27,"2","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02327659040529,4,1,3,5,"Building Outlines, Schools & Hospitals",1,NA,1,1.86,0.00819774980133004,"Modelled Flow Data Used & Depth Available",13
"CONC",1971,300,112.09,2.39,"2","2","2017","CCTV Footage Review Log South_Latest.xls","no",5,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02297337339978,4,1,1,5,"Schools & Hospitals",1,NA,5,1.87,0.0155847331387923,"Modelled Flow Data Used & Depth Available",13
"CONC",1971,300,115.76,2,"2","2","2017","CCTV Footage Review Log South_Latest.xls","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02296015018484,4,1,1,5,"Schools & Hospitals",1,NA,5,1.87,0.0155911677932674,"Modelled Flow Data Used & Depth Available",13
"CONC",1971,300,73.31,2,"2","2","2017","CCTV Footage Review Log South_Latest.xls","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02294692696989,4,1,1,5,"Property Parcels, Schools & Hospitals",1,NA,5,1.87,0.0155976024477426,"Modelled Flow Data Used & Depth Available",13
"CONC",1957,381,89.83,3,"3","3","2018","te puna wai","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02206097156848,4,1,1,5,"Property Parcels, Schools & Hospitals",1,NA,5,1.87,0.016028724297577,"Modelled Flow Data Used & Depth Available",17
"CONC",1957,381,80.56,3,"3","3","2018","te puna wai","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02205435996101,4,1,1,5,"Property Parcels, Building Outlines, Schools & Hospitals",1,NA,5,1.87,0.0160319416248146,"Modelled Flow Data Used & Depth Available",17
"CONC",1960,381,97.45,3,"3","3","2018","te puna wai","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",4.02184940012934,4,1,1,5,"Property Parcels, Building Outlines, Schools & Hospitals",1,"Ocean Intercept, Significant Ecological Area - SEA_T_4345",5,1.87,0.0161316787691793,"Modelled Flow Data Used & Depth Available",17
"CLS",2019,1100,689.4,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0205,4,4,5,2.5,"Property Parcels",1,NA,1.5,1.235,0.8,"Diameter Used For Flow Approximation & Depth Available",13
"CLS",2019,1000,83.31,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",4.0205,4,4,5,2.5,"Property Parcels",1,NA,1.5,1.235,0.8,"Diameter Used For Flow Approximation & Depth Available",13
