MATERIAL,INSTALLED,NOM_DIA_MM,LENGTH,condition_overall_score,condition_overall_score_label,condition_age_score,condition_stability_score,condition_corrositivity_score,condition_pressure_score,condition_faults_per_km_score,condition_confidence_scenario,criticality_overall_score,criticality_overall_score_label,criticality_operational_score,criticality_pipe_type_score,criticality_people_impacts_score,criticality_people_impacts_dataset_s_,criticality_environment_impacts_score,criticality_environmental_impacts_dataset_s_,criticality_3rd_party_impacts_score,criticality_3rd_party_impacts_dataset_s_,criticality_impact_of_failure_score,criticality_sqrt_flow_ratio,criticality_confidence_scenario,Risk-score
AC,1970,150,1.19,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
CLS,1947,630,3.38,3.6,4,3,1,3,1,5,Soil Type Available & Modelled Pressure Available,2.345,2,1,3,3.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.15,0.6,Modelled Flow Data Used,15
AC,1970,150,1.96,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
CI,1970,150,1.9,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,0.5,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,1.21,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,0.41,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,0.4,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,"Building Outlines, Property Parcels",1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,0.38,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1980,150,1.38,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2,2,1,1,1,NA,1,NA,1,NA,1,0.2,Diameter Used for Flow Approximation,15
CLS,1946,150,2.21,3.87,4,3,3,3,3,5,Soil Type Available & Modelled Pressure Not Available,2,2,1,1,1,NA,1,NA,1,NA,1,0.2,Diameter Used for Flow Approximation,15
PE,1970,125,1.17,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
PVC-U,1970,100,0.64,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,8.61,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,1.21,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2,2,1,1,1,NA,1,NA,1,NA,1,0.2,Diameter Used for Flow Approximation,15
AC,1970,200,0.86,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2,2,1,1,1,NA,1,NA,1,NA,1,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,2.53,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2,2,1,1,1,NA,1,NA,1,NA,1,0.2,Diameter Used for Flow Approximation,15
CI,1970,150,3.94,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,0.78,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
CI,1923,470,436.64,3.78,4,5,1,1,2,5,Soil Type Available & Modelled Pressure Available,2.1275,2,1,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,15
AC,1970,150,31.43,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,100,0.38,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,6.55,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
CI,1923,470,284.21,3.78,4,5,1,1,2,5,Soil Type Available & Modelled Pressure Available,2.1275,2,1,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,15
AC,1970,150,2.59,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,17.07,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1980,150,1.38,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2,2,1,1,1,NA,1,NA,1,NA,1,0.2,Diameter Used for Flow Approximation,15
PVC-U,1970,150,1.63,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,1.3,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2,2,1,1,1,NA,1,NA,1,NA,1,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,3.63,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
UNDEF,1947,910,3.43,4.07,4,5,1,3,1,5,Soil Type Available & Modelled Pressure Available,2.2175,2,1,4,3.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.43,0.8,Modelled Flow Data Used,15
CI,1912,550,31.13,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,2.4275,2,2,2,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.28,0.4,Diameter Used for Flow Approximation,15
AC,1970,150,7.33,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,0.3,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
CLS,1947,630,3.46,3.6,4,3,1,3,1,5,Soil Type Available & Modelled Pressure Available,2.345,2,1,3,3.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.15,0.6,Modelled Flow Data Used,15
AC,1970,150,0.43,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,150,13.09,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
PVC-U,1970,150,1.45,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
CLS,1947,630,3.61,3.6,4,3,1,3,1,5,Soil Type Available & Modelled Pressure Available,2.345,2,1,3,3.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.15,0.6,Modelled Flow Data Used,15
AC,1970,150,13.8,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
AC,1970,100,8.63,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.2175,2,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,15
CLS,1975,150,1.79,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,3.1475,3,5,3,2.5,Property Parcels,1,NA,1,NA,1.91,0.2,Modelled Flow Data Used,14
CLS,1989,410,0.82,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,14
CI,2000,150,3.15,2.65,3,1,5,1,3,4,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,2002,550,4.71,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.8175,3,2,3,3.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.15,0.4,Diameter Used for Flow Approximation,14
CLS,1998,760,13.12,3.09,3,1,5,1,3,5,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Mana Whenua - Paruroa & Nihotupu,1,NA,1.56,0.6,Diameter Used for Flow Approximation,14
CLS,1970,250,2.62,2.97,3,2,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.69,3,1,3,3.5,"Public Park & Sports Area, Building Outlines",1,NA,1,NA,2.15,0.2,Modelled Flow Data Used,14
CLS,1975,150,1.4,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,3.1475,3,5,3,2.5,Property Parcels,1,NA,1,NA,1.91,0.2,Modelled Flow Data Used,14
MS,2008,150,4.19,2.83,3,1,1,1,2,5,Soil Type Available & Modelled Pressure Available,3.1475,3,5,3,2.5,Property Parcels,1,"Aquifer - Onehunga Volcanic Aquifer, Place Of Historic Heritage - One Tree Hill /Maungakiekie R11_14",1,NA,1.91,0.2,Modelled Flow Data Used,14
ELS,2008,600,1.99,3.48,3,1,5,3,3,5,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,14
CLS,1974,630,4.35,2.88,3,1,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,"Mana Whenua - Paruroa & Nihotupu, Significant Ecological Area - SEA_T_5539",1,NA,1.56,0.6,Diameter Used for Flow Approximation,14
CLS,2009,470,29.4,2.83,3,1,1,1,2,5,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,1,NA,1.28,0.4,Modelled Flow Data Used,14
ELS,2008,600,7.82,3.48,3,1,5,3,3,5,Soil Type Available & Modelled Pressure Not Available,3.3125,3,3,3,3.5,Building Outlines,4,"NZ River Lines, Significant Ecological Area - SEA_T_5539",1,NA,2.37,0.6,Diameter Used for Flow Approximation,14
CLS,1972,630,372.4,2.68,3,2,1,3,3,3,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,14
CI,1949,470,657.55,2.67,3,4,1,1,2,3,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,14
CLS,1979,550,0.73,2.92,3,1,1,1,3,5,Soil Type Available & Modelled Pressure Not Available,2.585,3,2,2,2.5,Property Parcels,1,NA,1,NA,1.64,0.4,Diameter Used for Flow Approximation,14
CI,1952,450,1.35,3.45,3,4,1,1,1,5,Soil Type Available & Modelled Pressure Available,3.485,3,5,2,2.5,Property Parcels,1,"Significant Ecological Area - SEA_T_6016, Aquifer - Auckland Isthmus Volcanic Aquifer",1,NA,1.64,0.4,Modelled Flow Data Used,14
CLS,1984,470,2.15,2.69,3,1,1,3,1,4,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,14
CLS,2002,500,2.78,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.8175,3,2,3,3.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.15,0.4,Diameter Used for Flow Approximation,14
CLS,2009,470,2.8,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,3.485,3,5,2,2.5,Property Parcels,1,NA,1,NA,1.64,0.4,Modelled Flow Data Used,14
CLS,1979,550,1,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,3.485,3,5,2,2.5,Property Parcels,1,NA,1,NA,1.64,0.4,Modelled Flow Data Used,14
AC,1960,300,321.12,2.67,3,4,1,1,2,3,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
MS,2000,200,14.16,2.92,3,1,1,1,3,5,Soil Type Available & Modelled Pressure Available,2.8175,3,5,1,2.5,Property Parcels,1,Aquifer - Auckland Isthmus Volcanic Aquifer,1,NA,1.36,0.2,Modelled Flow Data Used,14
CLS,1970,760,109.2,2.68,3,2,1,3,3,3,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,NA,1,NA,1.56,0.6,Diameter Used for Flow Approximation,14
CLS,1989,410,0.79,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,14
CLS,1960,100,2.78,3.15,3,2,5,5,2,3,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1975,150,1.4,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.5475,3,1,3,2.5,Property Parcels,1,NA,1,NA,1.91,0.2,Modelled Flow Data Used,14
CLS,1991,310,2.08,2.83,3,1,1,1,2,5,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CI,1970,200,555.41,2.63,3,2,1,1,2,4,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,Aquifer - Onehunga Volcanic Aquifer,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1970,250,2.67,2.97,3,2,1,1,1,5,Soil Type Available & Modelled Pressure Available,3.29,3,5,3,3.5,"Public Park & Sports Area, Building Outlines",1,NA,1,NA,2.15,0.2,Modelled Flow Data Used,14
CLS,1970,250,2.6,2.97,3,2,1,1,1,5,Soil Type Available & Modelled Pressure Available,3.29,3,5,3,3.5,"Public Park & Sports Area, Building Outlines",1,NA,1,NA,2.15,0.2,Modelled Flow Data Used,14
CI,1912,610,12.82,3.43,3,5,1,1,3,4,Soil Type Not Available & Modelled Pressure Not Available,3.23,3,3,5,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,2.11,0.6,Diameter Used for Flow Approximation,14
CLS,1972,630,595.11,2.85,3,2,5,3,3,3,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,14
CLS,1994,390,3.4,3,3,1,5,1,2,5,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1975,390,1.78,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.7425,3,5,1,2,Public Park & Sports Area,1,NA,1,NA,1.24,0.2,Modelled Flow Data Used,14
CLS,1989,390,5.25,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.96,3,5,1,3.5,"Building Outlines, Property Parcels",1,NA,1,NA,1.6,0.2,Modelled Flow Data Used,14
CLS,1982,390,0.52,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1980,630,14.88,3,3,1,3,1,3,5,Soil Type Available & Modelled Pressure Not Available,3.1325,3,3,3,1,NA,4,"NZ River Lines, Mana Whenua - Paruroa & Nihotupu, Significant Ecological Area - SEA-M2-17a",1,NA,1.77,0.6,Diameter Used for Flow Approximation,14
CI,2008,600,7.77,3.48,3,1,5,3,3,5,Soil Type Available & Modelled Pressure Not Available,3.1325,3,3,3,1,NA,4,"NZ River Lines, Significant Ecological Area - SEA_T_5539",1,NA,1.77,0.6,Diameter Used for Flow Approximation,14
CLS,2005,390,4.1,2.56,3,1,5,1,2,4,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CI,1970,200,12.84,2.54,3,2,1,1,1,4,Soil Type Available & Modelled Pressure Available,2.8175,3,5,1,2.5,Property Parcels,1,"Aquifer - Onehunga Volcanic Aquifer, Place Of Historic Heritage - One Tree Hill /Maungakiekie R11_14",1,NA,1.36,0.2,Modelled Flow Data Used,14
CLS,1977,310,6,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.8175,3,5,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Modelled Flow Data Used,14
CLS,2009,310,42.04,2.88,3,1,1,3,3,4,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,2013,200,9.11,2.92,3,1,1,1,3,5,Soil Type Available & Modelled Pressure Not Available,2.57,3,1,1,5,Schools & Hospitals,1,NA,1,NA,1.95,0.2,Diameter Used for Flow Approximation,14
ELS,2009,600,6.75,2.61,3,1,5,3,3,3,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,14
CLS,2010,200,2.71,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.8175,3,5,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Modelled Flow Data Used,14
CLS,2005,550,2.33,2.56,3,1,5,1,2,4,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,14
CLS,1984,470,4.01,2.69,3,1,1,3,1,4,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,14
CLS,1974,550,4.72,2.88,3,1,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,2.69,3,2,2,3.5,"Building Outlines, Property Parcels",1,Place Of Historic Heritage - Waitakere Filter Station,1,NA,1.87,0.4,Diameter Used for Flow Approximation,14
CLS,2001,250,2.34,3.13,3,1,1,3,1,5,Soil Type Available & Modelled Pressure Available,3.29,3,5,3,3.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.15,0.2,Modelled Flow Data Used,14
CLS,2012,300,5.82,2.88,3,1,1,3,3,4,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1982,150,1.5,3.3,3,1,3,3,2,5,Soil Type Available & Modelled Pressure Available,2.5475,3,1,3,2.5,"Building Outlines, Property Parcels",1,NA,1,NA,1.91,0.2,Modelled Flow Data Used,14
CLS,2005,310,6.42,2.88,3,1,1,3,3,4,Soil Type Available & Modelled Pressure Available,2.9375,3,5,3,1,NA,1,NA,1,NA,1.56,0.2,Modelled Flow Data Used,14
CLS,1992,310,3.12,3.13,3,1,1,3,1,5,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1980,550,9.87,2.78,3,1,1,3,2,4,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,14
CLS,2001,470,62.13,2.78,3,1,3,3,1,4,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,1,NA,1.28,0.4,Modelled Flow Data Used,14
CLS,1991,310,1.81,2.83,3,1,1,1,2,5,Soil Type Available & Modelled Pressure Available,2.9375,3,5,3,1,NA,1,NA,1,NA,1.56,0.2,Modelled Flow Data Used,14
CLS,1982,390,2.04,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1998,760,28.84,3,3,1,3,1,3,5,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Mana Whenua - Paruroa & Nihotupu,1,NA,1.56,0.6,Diameter Used for Flow Approximation,14
CLS,1980,310,0.76,3.13,3,1,1,3,1,5,Soil Type Available & Modelled Pressure Available,2.8175,3,5,1,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5539,1,NA,1.36,0.2,Modelled Flow Data Used,14
MS,2004,500,5.59,2.78,3,1,1,3,2,4,Soil Type Available & Modelled Pressure Available,3.455,3,5,3,1,NA,1,NA,1,NA,1.56,0.4,Modelled Flow Data Used,14
PVC-U,1989,50,370.84,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.8175,3,5,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Modelled Flow Data Used,14
CI,1970,200,0.46,2.72,3,2,1,1,3,4,Soil Type Available & Modelled Pressure Available,3.17,3,5,1,5,Schools & Hospitals,1,Aquifer - Onehunga Volcanic Aquifer,1,NA,1.95,0.2,Modelled Flow Data Used,14
CLS,2001,150,1.72,3.13,3,1,1,3,1,5,Soil Type Available & Modelled Pressure Available,3.1475,3,5,3,2.5,Property Parcels,1,Place Of Historic Heritage - Nihotupu Filter Station,1,NA,1.91,0.2,Modelled Flow Data Used,14
CLS,1980,150,1.53,3.13,3,1,1,3,1,5,Soil Type Available & Modelled Pressure Available,2.8175,3,5,1,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5539,1,NA,1.36,0.2,Modelled Flow Data Used,14
CLS,1972,630,1.15,2.85,3,2,5,3,3,3,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,14
CLS,1973,310,9.33,3.07,3,2,1,1,2,5,Soil Type Not Available & Modelled Pressure Available,3.485,3,5,5,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5277,1,NA,2.47,0.2,Modelled Flow Data Used,14
CLS,1957,390,3.13,2.54,3,2,1,1,1,4,Soil Type Available & Modelled Pressure Available,2.96,3,5,1,3.5,Building Outlines,1,NA,1,NA,1.6,0.2,Modelled Flow Data Used,14
CLS,2002,550,4.59,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.8175,3,2,3,3.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.15,0.4,Diameter Used for Flow Approximation,14
CLS,1975,310,3.64,2.83,3,1,1,1,2,5,Soil Type Available & Modelled Pressure Available,3.1475,3,5,3,2.5,Property Parcels,1,"Aquifer - Onehunga Volcanic Aquifer, Place Of Historic Heritage - One Tree Hill /Maungakiekie R11_14",1,NA,1.91,0.2,Modelled Flow Data Used,14
CLS,1988,470,16.77,3.04,3,1,5,3,3,4,Soil Type Available & Modelled Pressure Available,3.485,3,5,2,2.5,Property Parcels,1,NA,1,NA,1.64,0.4,Modelled Flow Data Used,14
CLS,1982,390,0.45,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1968,470,139.99,2.63,3,2,1,1,2,4,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,14
CLS,1972,470,357.32,2.67,3,2,3,3,2,3,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,1,NA,1.28,0.4,Modelled Flow Data Used,14
CLS,1990,150,4.2,2.83,3,1,1,1,2,5,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,Aquifer - Mt Wellington Volcanic Aquifer,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1966,470,693.67,2.59,3,2,1,3,2,3,Soil Type Available & Modelled Pressure Available,3.485,3,5,2,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5539,1,NA,1.64,0.4,Modelled Flow Data Used,14
CLS,1979,550,8.23,2.82,3,1,3,1,1,5,Soil Type Available & Modelled Pressure Available,3.485,3,5,2,2.5,Property Parcels,1,NA,1,NA,1.64,0.4,Modelled Flow Data Used,14
CLS,1975,150,1.79,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.5475,3,1,3,2.5,Property Parcels,1,NA,1,NA,1.91,0.2,Modelled Flow Data Used,14
CI,1912,610,14.96,3.43,3,5,1,1,3,4,Soil Type Not Available & Modelled Pressure Not Available,3.23,3,3,5,1,NA,1,"Mana Whenua - Paruroa & Nihotupu, Significant Ecological Area - SEA_T_5539",1,NA,2.11,0.6,Diameter Used for Flow Approximation,14
CLS,1970,390,76.67,2.72,3,2,1,1,3,4,Soil Type Available & Modelled Pressure Available,3.17,3,5,1,5,Schools & Hospitals,1,Aquifer - Onehunga Volcanic Aquifer,1,NA,1.95,0.2,Modelled Flow Data Used,14
CLS,2002,100,2.15,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.5475,3,1,3,2.5,"Building Outlines, Property Parcels",1,NA,1,NA,1.91,0.2,Diameter Used for Flow Approximation,14
CLS,1966,310,0.49,2.97,3,2,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.8175,3,5,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Modelled Flow Data Used,14
CLS,1994,310,2.16,3.42,3,4,3,3,5,3,Soil Type Not Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,14
CLS,1982,310,2.63,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.8175,3,5,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Modelled Flow Data Used,14
CLS,2002,550,13.58,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,2.5175,3,1,3,3.5,"Building Outlines, Property Parcels",1,Place Of Historic Heritage - Pumphouse,1,NA,2.15,0.4,Modelled Flow Data Used,14
